repo,url,stars,language,description,snapshot
yusukebe/hono-jev-router,https://github.com/yusukebe/hono-jev-router,34,TypeScript,Route HTTP requests by meaning. A semantic router for Hono powered by Jev.,2026-09-19
Heman10x-NGU/Verdict-open-jev,https://github.com/Heman10x-NGU/Verdict-open-jev,22,Python,"Non-autoregressive decision engine on ModernBERT (151M) with calibrated uncertainty (RLCD), TypeSafe AI Jev benchmark audit, and in-browser WebGPU playground.",2026-09-19
keltokhy/jgrep,https://github.com/keltokhy/jgrep,12,Python,"grep, but the pattern is a description. Filters lines by meaning with TypeSafe's Jev decision model: ~200 ms and a thousandth of a cent per line.",2026-09-19
vinilana/live-jev,https://github.com/vinilana/live-jev,10,JavaScript,"2D autonomous car simulation in the browser, driven by TypeSafe's Jev decision model.",2026-09-19
mejiasd3v/pi-jev-router,https://github.com/mejiasd3v/pi-jev-router,6,JavaScript,Automatic model routing for Pi using TypeSafe's Jev through Vercel AI Gateway.,2026-09-19
arunav25/jev-mcp,https://github.com/arunav25/jev-mcp,5,JavaScript,Connect JEV to MCP clients and compare its judgments against general-purpose LLMs using shared datasets and measurable accuracy.,2026-09-19
harshil1712/slidepilot,https://github.com/harshil1712/slidepilot,4,TypeScript,"Voice-driven semantic auto-advance for Slidev, powered by Cloudflare Agents and TypeSafe AI Jev.",2026-09-19
andrelandgraf/safer-with-jev,https://github.com/andrelandgraf/safer-with-jev,4,TypeScript,Neon Function proxy for the Neon AI Gateway with TypeSafe Jev routing.,2026-09-19
nexibeo/jev-cookbook,https://github.com/nexibeo/jev-cookbook,3,JavaScript,"Practical, tested recipes for TypeSafe's Jev decision model on OpenRouter: support triage, database indexing, file organizing, tagging, taxonomies, dedupe, PII detection, extraction, search re-ranking and a browser agent.",2026-09-19
Olti1947/jev-java,https://github.com/Olti1947/jev-java,3,Java,Idiomatic Java SDK for TypeSafe AI Jev System One decision engine.,2026-09-19
rashedInt32/jev-mcp,https://github.com/rashedInt32/jev-mcp,3,TypeScript,"MCP server exposing TypeSafe Jev as typed, calibrated judgment tools: classify, score, check, batched ask. Ships as a Claude Code plugin.",2026-09-19
gtaras7/typesafe-jev,https://github.com/gtaras7/typesafe-jev,2,TypeScript,"Screen a folder of CVs with the TypeSafe Jev decision model: typed judgments, an editable policy, free re-scoring.",2026-09-19
Dimesio/typesafe-chess,https://github.com/Dimesio/typesafe-chess,2,JavaScript,FUn little experiment with Typesafe AI Jev Model playing chess against stockfish :).,2026-09-19
sysadarsh/zerosweep,https://github.com/sysadarsh/zerosweep,2,TypeScript,"Autonomous System-One Triage Engine & Benchmark powered by TypeSafe AI (Jev). 75ms inference, $0 output tokens, and RLCD epistemic safety gates.",2026-09-19
Stumble/jev-go,https://github.com/Stumble/jev-go,2,Go,Community Go SDK for TypeSafe AI Jev / System One.,2026-09-19
hamakyo/jev-starter,https://github.com/hamakyo/jev-starter,2,TypeScript,"Typed, policy-driven decision workflows on top of TypeSafe AI Jev: confidence routing, fallbacks, evaluation, and RAG patterns for TypeScript apps.",2026-09-19
samtay32/jev-system-architect,https://github.com/samtay32/jev-system-architect,2,,"System-architecture skill for TypeSafe AI Jev/System One , find fuzzy semantic judgment and turn it into small Choice/Score/Noul primitives.",2026-09-19
noetion/dsh-jev,https://github.com/noetion/dsh-jev,2,TypeScript,"DSH bundle that registers jev_ask for TypeSafe Jev noul, choice, and score answers.",2026-09-19
abhishekashokvkumar/jev-mcp-dispatcher,https://github.com/abhishekashokvkumar/jev-mcp-dispatcher,2,Python,"Natural-language MCP tool dispatcher powered entirely by TypeSafe's Jev , no general-purpose LLM. Discovers a simple MCP server's tool signatures at runtime and uses Jev's typed primitives (Choice/Noul) to pick the right tool and extract its arguments straight out of the sentence.",2026-09-19
forvela/jev-agent-browser,https://github.com/forvela/jev-agent-browser,2,JavaScript,"Fast, bounded browser agents powered by Jev and agent-browser , typed actions, research, classification, and safe orchestration.",2026-09-19
raihankhan-rk/jevarena,https://github.com/raihankhan-rk/jevarena,2,TypeScript,"JevArena , two Jev agents duel in click-only browser games (Browser Use + TypeSafe Jev).",2026-09-19
rajdhakad9826/jev-router,https://github.com/rajdhakad9826/jev-router,2,TypeScript,"Cost-aware LLM router that picks the cheapest model capable of handling a query, using TypeSafe's Jev for fast classification instead of an LLM call.",2026-09-19
ajensenwaud/hermes-jev-plugin,https://github.com/ajensenwaud/hermes-jev-plugin,2,Python,TypeSafe Jev (System One) decision tools for Hermes Agent: jev_check / jev_route / jev_score / jev_evaluate.,2026-09-19
iJ03l/jear,https://github.com/iJ03l/jear,2,Rust,Jev-routed client for NEAR AI Cloud inference and IronClaw agents.,2026-09-19
adarshmishra07/jcm-router,https://github.com/adarshmishra07/jcm-router,2,TypeScript,"Local proxy that picks the Claude model and effort per message using TypeSafe Jev. Routes subagents, leaves your cached main chat alone.",2026-09-19
